Entity,Label
Dimir,PERSON
que,OBJECT
já,OBJECT
matou,OBJECT
mais,OBJECT
de,OBJECT
10,OBJECT
pessoas,PERSON
",",OBJECT
o,OBJECT
miliciano,PERSON
está,OBJECT
ameaçando,OBJECT
os,OBJECT
moradores,PERSON
dizendo,OBJECT
que,OBJECT
se,OBJECT
alguém,PERSON
for,OBJECT
testemunhar,OBJECT
contra,OBJECT
ele,OBJECT
e,OBJECT
o,OBJECT
filho,PERSON
ele,OBJECT
mata,OBJECT
todo,OBJECT
",",OBJECT
o,OBJECT
Dimir,PERSON
e,OBJECT
o,OBJECT
filho,PERSON
tem,OBJECT
uma,OBJECT
borracharia,OBJECT
na,OBJECT
avenida,LOCATION
Joaquim,OBJECT
Magalhães,OBJECT
numero,OBJECT
208,OBJECT
bem,OBJECT
próximo,OBJECT
onde,OBJECT
ocorreu,OBJECT
o,OBJECT
homicídio,OBJECT
",",OBJECT
(,OBJECT
Dimir,PERSON
borracheiro,OBJECT
),OBJECT
",",OBJECT
a,OBJECT
arma,OBJECT
do,OBJECT
crime,OBJECT
é,OBJECT
do,OBJECT
Ďimir,OBJECT
.,OBJECT
Vou,OBJECT
enviar,OBJECT
dusas,OBJECT
fotos,OBJECT
do,OBJECT
Vanderson,PERSON
.,OBJECT
Aqui,OBJECT
onde,OBJECT
eu,OBJECT
moro,OBJECT
tem,OBJECT
uma,OBJECT
boca,OBJECT
de,OBJECT
fumo,OBJECT
na,OBJECT
esquina,LOCATION
de,OBJECT
casa,LOCATION
onde,OBJECT
há,OBJECT
circulação,OBJECT
de,OBJECT
indivíduos,PERSON
desconhecidos,OBJECT
fazendo,OBJECT
uso,OBJECT
e,OBJECT
venda,OBJECT
de,OBJECT
entorpecentes,OBJECT
não,OBJECT
respeitam,OBJECT
ninguém,PERSON
nem,OBJECT
mesmo,OBJECT
os,OBJECT
moradores,PERSON
",",OBJECT
tem,OBJECT
vindo,OBJECT
pessoas,PERSON
de,OBJECT
longe,OBJECT
para,OBJECT
fazer,OBJECT
a,OBJECT
compra,OBJECT
das,OBJECT
drogas,OBJECT
.,OBJECT
Gostaria,OBJECT
de,OBJECT
solicitar,OBJECT
uma,OBJECT
maior,OBJECT
fiscalização,OBJECT
do,OBJECT
detro,OBJECT
rj,OBJECT
",",OBJECT
e,OBJECT
da,OBJECT
PM,ORGANIZATION
ao,OBJECT
serviço,OBJECT
de,OBJECT
moto,OBJECT
táxi,OBJECT
em,OBJECT
queimados,OBJECT
",",OBJECT
está,OBJECT
uma,OBJECT
verdadeira,OBJECT
loucura,OBJECT
todos,OBJECT
eles,OBJECT
andam,OBJECT
em,OBJECT
altíssima,OBJECT
velocidade,OBJECT
",",OBJECT
não,OBJECT
respeitam,OBJECT
ninguém,PERSON
",",OBJECT
quase,OBJECT
atropela,OBJECT
todo,OBJECT
.,OBJECT
Em,OBJECT
frente,OBJECT
à,OBJECT
passarela,OBJECT
fica,OBJECT
um,OBJECT
monte,OBJECT
de,OBJECT
moto,OBJECT
parada,OBJECT
atrapalhando,OBJECT
a,OBJECT
passagem,OBJECT
",",OBJECT
vem,OBJECT
um,OBJECT
monte,OBJECT
desses,OBJECT
caras,OBJECT
nos,OBJECT
abordadando,OBJECT
oferecendo,OBJECT
serviço,OBJECT
",",OBJECT
na,OBJECT
av,OBJECT
dr,OBJECT
Pedro,OBJECT
Jorge,OBJECT
a,OBJECT
mesma,OBJECT
coisa,OBJECT
",",OBJECT
gostaria,OBJECT
de,OBJECT
saber,OBJECT
sobre,OBJECT
a,OBJECT
legalidade,OBJECT
desse,OBJECT
serviço,OBJECT
.,OBJECT
Há,OBJECT
algum,OBJECT
tempo,OBJECT
",",OBJECT
relatei,OBJECT
sobre,OBJECT
um,OBJECT
roubo,OBJECT
de,OBJECT
cargas,OBJECT
de,OBJECT
freezers,OBJECT
da,OBJECT
coca,OBJECT
cola,OBJECT
e,OBJECT
fraldas,OBJECT
que,OBJECT
foram,OBJECT
feitos,OBJECT
em,OBJECT
caminhão,OBJECT
e,OBJECT
trouxeram,OBJECT
para,OBJECT
um,OBJECT
galpão,OBJECT
enorme,OBJECT
.,OBJECT
Ineditamente,OBJECT
",",OBJECT
vocês,OBJECT
mandaram,OBJECT
responsáveis,PERSON
e,OBJECT
recuperaram,OBJECT
os,OBJECT
objetos,OBJECT
",",OBJECT
mas,OBJECT
os,OBJECT
policiais,PERSON
que,OBJECT
vieram,OBJECT
não,OBJECT
fizeram,OBJECT
nada,OBJECT
com,OBJECT
o,OBJECT
responsável,PERSON
",",OBJECT
conversaram,OBJECT
e,OBJECT
liberaram,OBJECT
ele,OBJECT
",",OBJECT
não,OBJECT
teve,OBJECT
nenhum,OBJECT
tipo,OBJECT
de,OBJECT
punição,OBJECT
que,OBJECT
fiquei,OBJECT
sabendo,OBJECT
.,OBJECT
Agora,OBJECT
",",OBJECT
ele,OBJECT
usa,OBJECT
o,OBJECT
galpão,OBJECT
pra,OBJECT
festas,OBJECT
de,OBJECT
baile,OBJECT
funk,OBJECT
onde,OBJECT
vende,OBJECT
bebidas,OBJECT
",",OBJECT
drogas,OBJECT
e,OBJECT
usam,OBJECT
armas,OBJECT
para,OBJECT
intimidar,OBJECT
as,OBJECT
pessoas,PERSON
que,OBJECT
moram,OBJECT
na,OBJECT
rua,LOCATION
.,OBJECT
Normalmente,OBJECT
",",OBJECT
são,OBJECT
todos,OBJECT
os,OBJECT
sábados,OBJECT
essas,OBJECT
bagunças,OBJECT
e,OBJECT
sempre,OBJECT
sai,OBJECT
em,OBJECT
briga,OBJECT
por,OBJECT
estarem,OBJECT
drogados,OBJECT
e,OBJECT
armados,OBJECT
.,OBJECT
Não,OBJECT
há,OBJECT
respeito,OBJECT
.,OBJECT
Ainda,OBJECT
tenho,OBJECT
o,OBJECT
código,OBJECT
da,OBJECT
denúncia,OBJECT
anterior,OBJECT
para,OBJECT
vocês,OBJECT
poderem,OBJECT
assimilar,OBJECT
o,OBJECT
lugar,LOCATION
e,OBJECT
ver,OBJECT
que,OBJECT
é,OBJECT
algo,OBJECT
sério,OBJECT
e,OBJECT
não,OBJECT
estou,OBJECT
brincando,OBJECT
.,OBJECT
Vou,OBJECT
mandar,OBJECT
o,OBJECT
código,OBJECT
por,OBJECT
foto,OBJECT
.,OBJECT
Peço,OBJECT
",",OBJECT
gentilmente,OBJECT
",",OBJECT
que,OBJECT
ajudem,OBJECT
.,OBJECT
Obrigado,OBJECT
.,OBJECT
Rua,LOCATION
dep,OBJECT
.,OBJECT
hilton,OBJECT
gama,OBJECT
687,OBJECT
parque,LOCATION
Anchieta,OBJECT
estão,OBJECT
aprontando,OBJECT
venda,OBJECT
e,OBJECT
consumo,OBJECT
de,OBJECT
drogas,OBJECT
.,OBJECT
Fornecedor,PERSON
de,OBJECT
armas,OBJECT
de,OBJECT
pequeno,OBJECT
porte,OBJECT
revólver,OBJECT
e,OBJECT
pistolas,OBJECT
.,OBJECT
as,OBJECT
vezes,OBJECT
rplam,OBJECT
bailes,OBJECT
funks,OBJECT
onde,OBJECT
além,OBJECT
da,OBJECT
droga,OBJECT
rpla,OBJECT
prostituição,OBJECT
.,OBJECT
É,OBJECT
um,OBJECT
inferno,OBJECT
.,OBJECT
Diariamente,OBJECT
dois,OBJECT
jovens,PERSON
vendem,OBJECT
drogas,OBJECT
de,OBJECT
todos,OBJECT
os,OBJECT
tipos,OBJECT
no,OBJECT
telhado,OBJECT
de,OBJECT
uma,OBJECT
casa,LOCATION
.,OBJECT
Eles,OBJECT
invadem,OBJECT
a,OBJECT
laje,OBJECT
desta,OBJECT
casa,LOCATION
e,OBJECT
anunciam,OBJECT
a,OBJECT
venda,OBJECT
das,OBJECT
drogas,OBJECT
.,OBJECT
Eles,OBJECT
descem,OBJECT
as,OBJECT
drogas,OBJECT
com,OBJECT
auxílio,OBJECT
de,OBJECT
uma,OBJECT
corda,OBJECT
.,OBJECT
Sempre,OBJECT
tem,OBJECT
uma,OBJECT
pessoa,PERSON
armada,OBJECT
",",OBJECT
uma,OBJECT
arma,OBJECT
pequena,OBJECT
.,OBJECT
Às,OBJECT
vezes,OBJECT
tem,OBJECT
polícia,ORGANIZATION
passando,OBJECT
eles,OBJECT
correm,OBJECT
e,OBJECT
voltam,OBJECT
logo,OBJECT
em,OBJECT
seguida,OBJECT
.,OBJECT
Eles,OBJECT
entram,OBJECT
por,OBJECT
uma,OBJECT
casa,LOCATION
abandonada,OBJECT
que,OBJECT
foi,OBJECT
invadida,OBJECT
.,OBJECT
O,OBJECT
local,LOCATION
fica,OBJECT
a,OBJECT
100m,OBJECT
de,OBJECT
área,OBJECT
de,OBJECT
competição,OBJECT
da,OBJECT
paraolimpíada,OBJECT
.,OBJECT
A,OBJECT
venda,OBJECT
das,OBJECT
drogas,OBJECT
ocorre,OBJECT
livremente,OBJECT
.,OBJECT
Na,OBJECT
Minha,OBJECT
rua,LOCATION
tá,OBJECT
cheio,OBJECT
de,OBJECT
barricadas,OBJECT
",",OBJECT
tiraram,OBJECT
o,OBJECT
direito,OBJECT
dos,OBJECT
moradores,PERSON
de,OBJECT
ir,OBJECT
e,OBJECT
vir,OBJECT
",",OBJECT
isso,OBJECT
é,OBJECT
um,OBJECT
absurdo,OBJECT
.,OBJECT
"""",OBJECT
"""",OBJECT
Gostaria,OBJECT
de,OBJECT
denunciar,OBJECT
o,OBJECT
paradeiro,OBJECT
de,OBJECT
um,OBJECT
fugitivo,PERSON
do,OBJECT
auto,OBJECT
de,OBJECT
prisão,OBJECT
em,OBJECT
flagrante,OBJECT
059-16340,OBJECT
/,OBJECT
2016,OBJECT
",",OBJECT
registrado,OBJECT
no,OBJECT
plantão,OBJECT
da,OBJECT
59,OBJECT
DP,ORGANIZATION
",",OBJECT
em,OBJECT
Duque,LOCATION
de,OBJECT
Caxias,OBJECT
",",OBJECT
no,OBJECT
dia,OBJECT
08-12-2016,OBJECT
.,OBJECT
Foi,OBJECT
uma,OBJECT
série,OBJECT
de,OBJECT
roubos,OBJECT
.,OBJECT
Com,OBJECT
dois,OBJECT
autores,PERSON
e,OBJECT
uma,OBJECT
ajudante,PERSON
.,OBJECT
Um,OBJECT
dos,OBJECT
autores,PERSON
foi,OBJECT
preso,OBJECT
em,OBJECT
flagrante,OBJECT
e,OBJECT
o,OBJECT
outro,OBJECT
fugiu,OBJECT
.,OBJECT
O,OBJECT
cidadão,PERSON
vulgo,OBJECT
"""",OBJECT
"""",OBJECT
"""",OBJECT
"""",OBJECT
LD,OBJECT
GOMES,OBJECT
Pjl,OBJECT
"""",OBJECT
"""",OBJECT
"""",OBJECT
"""",OBJECT
é,OBJECT
o,OBJECT
que,OBJECT
fugiu,OBJECT
.,OBJECT
O,OBJECT
"""",OBJECT
"""",OBJECT
"""",OBJECT
"""",OBJECT
LD,OBJECT
GOMES,OBJECT
Pjl,OBJECT
"""",OBJECT
"""",OBJECT
"""",OBJECT
"""",OBJECT
mora,OBJECT
próximo,OBJECT
à,OBJECT
Escola,OBJECT
Municipal,OBJECT
Roberto,OBJECT
Weguelin,OBJECT
de,OBJECT
Abreu,OBJECT
",",OBJECT
no,OBJECT
bairro,LOCATION
Conjunto,OBJECT
22,OBJECT
de,OBJECT
Abril,OBJECT
",",OBJECT
em,OBJECT
Duque,LOCATION
de,OBJECT
Caxias,OBJECT
.,OBJECT
O,OBJECT
Link,OBJECT
do,OBJECT
Facebook,ORGANIZATION
do,OBJECT
fugitivo,PERSON
é,OBJECT
www,OBJECT
.,OBJECT
Facebook,ORGANIZATION
.,OBJECT
com,OBJECT
/,OBJECT
tropa,OBJECT
.,OBJECT
dacasinha,OBJECT
A,OBJECT
ajudante,PERSON
dos,OBJECT
roubos,OBJECT
tem,OBJECT
o,OBJECT
nome,OBJECT
de,OBJECT
e,OBJECT
mora,OBJECT
próximo,OBJECT
ao,OBJECT
Centro,OBJECT
de,OBJECT
Distribuição,OBJECT
das,OBJECT
Casas,OBJECT
Bahia,OBJECT
",",OBJECT
no,OBJECT
bairro,LOCATION
Conjunto,OBJECT
22,OBJECT
de,OBJECT
Abril,OBJECT
.,OBJECT
O,OBJECT
Link,OBJECT
do,OBJECT
Facebook,ORGANIZATION
da,OBJECT
ajudante,PERSON
dos,OBJECT
roubos,OBJECT
é,OBJECT
www,OBJECT
.,OBJECT
Facebook,ORGANIZATION
.,OBJECT
com,OBJECT
/,OBJECT
maay,OBJECT
.,OBJECT
steffany,OBJECT
Os,OBJECT
citados,OBJECT
realizam,OBJECT
roubos,OBJECT
e,OBJECT
furtos,OBJECT
nos,OBJECT
Bairros,LOCATION
Conjunto,OBJECT
22,OBJECT
de,OBJECT
Abril,OBJECT
",",OBJECT
Imbariê,OBJECT
",",OBJECT
Parada,OBJECT
Angélica,OBJECT
e,OBJECT
Piabetá,LOCATION
.,OBJECT
O,OBJECT
Caso,OBJECT
está,OBJECT
sendo,OBJECT
investigado,OBJECT
pela,OBJECT
de,OBJECT
Piabetá,LOCATION
-,OBJECT
66,OBJECT
DP,ORGANIZATION
.,OBJECT
"""",OBJECT
"""",OBJECT
Todo,OBJECT
sábado,OBJECT
tem,OBJECT
ocorrido,OBJECT
venda,OBJECT
de,OBJECT
drogas,OBJECT
com,OBJECT
homens,PERSON
fortemente,OBJECT
armados,OBJECT
na,OBJECT
quadra,OBJECT
da,OBJECT
Madame,PERSON
que,OBJECT
fica,OBJECT
localizada,OBJECT
na,OBJECT
rua,LOCATION
barão,OBJECT
de,OBJECT
Petrópolis,LOCATION
na,OBJECT
altura,OBJECT
do,OBJECT
nr,OBJECT
722,OBJECT
.,OBJECT
Já,OBJECT
relatei,OBJECT
esse,OBJECT
fato,OBJECT
outras,OBJECT
vezes,OBJECT
e,OBJECT
nunca,OBJECT
foi,OBJECT
confirmado,OBJECT
pela,OBJECT
polícia,ORGANIZATION
.,OBJECT
Parece,OBJECT
que,OBJECT
os,OBJECT
policiais,PERSON
não,OBJECT
vão,OBJECT
no,OBJECT
local,LOCATION
.,OBJECT
Sempre,OBJECT
vejo,OBJECT
homens,PERSON
portando,OBJECT
fuzis,OBJECT
e,OBJECT
oferecendo,OBJECT
drogas,OBJECT
na,OBJECT
entrada,OBJECT
desse,OBJECT
local,LOCATION
.,OBJECT
Eles,OBJECT
fazem,OBJECT
um,OBJECT
baile,OBJECT
funk,OBJECT
para,OBJECT
poder,OBJECT
vender,OBJECT
mais,OBJECT
drogas,OBJECT
.,OBJECT
Começa,OBJECT
hoje,OBJECT
por,OBJECT
volta,OBJECT
das,OBJECT
23h,OBJECT
e,OBJECT
só,OBJECT
acaba,OBJECT
por,OBJECT
volta,OBJECT
das,OBJECT
06h,OBJECT
de,OBJECT
domingo,OBJECT
Visão,OBJECT
própria,OBJECT
escura,OBJECT
quando,OBJECT
induzido,OBJECT
à,OBJECT
delitos,OBJECT
",",OBJECT
ilícitos,PERSON
ou,OBJECT
indignidades,OBJECT
.,OBJECT
Quando,OBJECT
sem,OBJECT
baixa,OBJECT
resistência,OBJECT
ocupo-me,OBJECT
com,OBJECT
mente,OBJECT
no,OBJECT
YouTube,ORGANIZATION
e,OBJECT
Facebook,ORGANIZATION
desta,OBJECT
conta,OBJECT
de,OBJECT
email,OBJECT
:,OBJECT
luciocllima,OBJECT
.,OBJECT
riorj,OBJECT
@,OBJECT
gmail,OBJECT
.,OBJECT
com,OBJECT
Indivíduo,PERSON
com,OBJECT
anestesia,OBJECT
emocional,OBJECT
como,OBJECT
antigo,OBJECT
e,OBJECT
primeiro,OBJECT
Lúcio,OBJECT
Cláudio,OBJECT
Lima,OBJECT
no,OBJECT
antigo,OBJECT
Morro,OBJECT
Casa,OBJECT
Branca,OBJECT
acesso,OBJECT
R,OBJECT
.,OBJECT
São,OBJECT
Miguel,OBJECT
118,OBJECT
/,OBJECT
130,OBJECT
Marechal,OBJECT
Trompovisky,OBJECT
próximo,OBJECT
Av,OBJECT
.,OBJECT
Maracanã,OBJECT
Tijuca,OBJECT
.,OBJECT
Bandidos,PERSON
continuam,OBJECT
atuando,OBJECT
dia,OBJECT
e,OBJECT
noite,OBJECT
na,OBJECT
antiga,OBJECT
72,OBJECT
do,OBJECT
bairro,LOCATION
Jardim,OBJECT
Catarina,OBJECT
",",OBJECT
a,OBJECT
ponto,OBJECT
de,OBJECT
estarem,OBJECT
armados,OBJECT
",",OBJECT
agora,OBJECT
não,OBJECT
ficam,OBJECT
24,OBJECT
hs,OBJECT
como,OBJECT
outrora,PERSON
",",OBJECT
mas,OBJECT
virem,OBJECT
e,OBJECT
mexem,OBJECT
estão,OBJECT
na,OBJECT
rua,LOCATION
",",OBJECT
a,OBJECT
polícia,ORGANIZATION
teve,OBJECT
aqui,OBJECT
",",OBJECT
mas,OBJECT
adiantou,OBJECT
nada,OBJECT
",",OBJECT
no,OBJECT
mesmo,OBJECT
dia,OBJECT
a,OBJECT
noite,OBJECT
lá,OBJECT
estavam,OBJECT
eles,OBJECT
novamente,OBJECT
",",OBJECT
a,OBJECT
situação,OBJECT
está,OBJECT
ficando,OBJECT
insustentável,OBJECT
!,OBJECT
!,OBJECT
"""",OBJECT
"""",OBJECT
Quero,OBJECT
denunciar,OBJECT
que,OBJECT
na,OBJECT
estação,LOCATION
da,OBJECT
tem,OBJECT
de,OBJECT
costa,OBJECT
barros,OBJECT
fica,OBJECT
o,OBJECT
centro,LOCATION
de,OBJECT
distribuição,OBJECT
de,OBJECT
cargas,OBJECT
roubadas,OBJECT
.,OBJECT
Neste,OBJECT
local,LOCATION
por,OBJECT
volta,OBJECT
das,OBJECT
13,OBJECT
:,OBJECT
00,OBJECT
horas,OBJECT
os,OBJECT
marginais,PERSON
se,OBJECT
ajuntam,OBJECT
para,OBJECT
fazerem,OBJECT
a,OBJECT
distribuição,OBJECT
das,OBJECT
cargas,OBJECT
.,OBJECT
Este,OBJECT
é,OBJECT
o,OBJECT
horário,OBJECT
certo,OBJECT
até,OBJECT
as,OBJECT
18,OBJECT
:,OBJECT
00,OBJECT
horas,OBJECT
.,OBJECT
Informo,OBJECT
ainda,OBJECT
que,OBJECT
boa,OBJECT
parte,OBJECT
destas,OBJECT
mercadorias,OBJECT
são,OBJECT
comercializadas,OBJECT
no,OBJECT
ramal,LOCATION
se,OBJECT
belford,OBJECT
roxo,OBJECT
livrimente,OBJECT
FORTEMENTE,OBJECT
ARMADOS,OBJECT
VENDENDO,OBJECT
DROGAS,OBJECT
24,OBJECT
E,OBJECT
AMEAÇANDO,OBJECT
MORADORES,OBJECT
NA,OBJECT
RUA,OBJECT
TEM,OBJECT
BARRICADAS,OBJECT
ESTAMOS,OBJECT
PERDEMOS,OBJECT
O,OBJECT
DIREITO,OBJECT
DE,OBJECT
IR,OBJECT
E,OBJECT
VIR,OBJECT
ASSALTOS,OBJECT
CONSTANTE,OBJECT
E,OBJECT
MUITOS,OBJECT
DESSES,OBJECT
ELEMENTOS,OBJECT
